Matrix,rt(s),cuts,slack,imbal,mb size,hash,part-count,SD
Matrices/vas_stokes_1M,0.693282s,10086463,100,1.05,10,4,16,0.5163977794943222,"[68167, 68167, 68167, 68167, 68167, 68167, 68167, 68167, 68166, 68166, 68166, 68166, 68166, 68166, 68166, 68166]"
Matrices/vas_stokes_1M,0.680642s,10088087,100,1.05,10,4,16,0.5163977794943222,"[68167, 68167, 68167, 68167, 68167, 68167, 68167, 68167, 68166, 68166, 68166, 68166, 68166, 68166, 68166, 68166]"
Matrices/marine1,19.0758s,840144,100,1.05,10,4,16,5.329165037789691,"[25019, 25017, 25030, 25016, 25016, 25025, 25026, 25026, 25014, 25017, 25019, 25027, 25015, 25017, 25013, 25023]"
Matrices/marine1,10.9651s,849226,100,1.05,10,4,16,6.521758454077652,"[25020, 25007, 25021, 25021, 25021, 25028, 25030, 25026, 25009, 25017, 25020, 25027, 25023, 25015, 25022, 25013]"
Matrices/wiki-Talk,17.4371s,626661,100,1.05,10,4,16,0.25,"[149650, 149649, 149649, 149649, 149649, 149649, 149649, 149649, 149649, 149649, 149649, 149649, 149649, 149649, 149649, 149649]"
Matrices/wiki-Talk,11.4361s,458099,100,1.05,10,4,16,0.25,"[149650, 149649, 149649, 149649, 149649, 149649, 149649, 149649, 149649, 149649, 149649, 149649, 149649, 149649, 149649, 149649]"
Matrices/dgreen,78.5194s,10218383,100,1.05,10,4,16,9.826622003516773,"[75033, 75034, 75056, 75050, 75042, 75045, 75032, 75040, 75020, 75050, 75029, 75033, 75023, 75040, 75042, 75042]"
Matrices/dgreen,48.6659s,10192384,100,1.05,10,4,16,8.328415215393623,"[75028, 75045, 75047, 75023, 75046, 75050, 75040, 75043, 75029, 75032, 75032, 75033, 75038, 75049, 75043, 75033]"
Matrices//wiki-Talk,5.49239s,1301690,100,1.05,10,4,16,0.25,"[149650, 149649, 149649, 149649, 149649, 149649, 149649, 149649, 149649, 149649, 149649, 149649, 149649, 149649, 149649, 149649]"
Matrices//vas_stokes_1M,0.250962s,10086463,100,1.05,10,4,16,0.5163977794943222,"[68167, 68167, 68167, 68167, 68167, 68167, 68167, 68167, 68166, 68166, 68166, 68166, 68166, 68166, 68166, 68166]"
Matrices//marine1,6.83025s,3624847,100,1.05,10,4,16,0.0,"[25020, 25020, 25020, 25020, 25020, 25020, 25020, 25020, 25020, 25020, 25020, 25020, 25020, 25020, 25020, 25020]"
Matrices//dgreen,46.0083s,14871475,100,1.05,10,4,16,0.4031128874149275,"[75039, 75039, 75039, 75038, 75038, 75038, 75038, 75038, 75038, 75038, 75038, 75038, 75038, 75038, 75038, 75038]"
Matrices//vas_stokes_1M,0.64263s,10086463,100,1.05,10,4,16,0.5163977794943222,"[68167, 68167, 68167, 68167, 68167, 68167, 68167, 68167, 68166, 68166, 68166, 68166, 68166, 68166, 68166, 68166]"
Matrices//wiki-Talk,10.3491s,1301690,100,1.05,10,4,16,0.25,"[149650, 149649, 149649, 149649, 149649, 149649, 149649, 149649, 149649, 149649, 149649, 149649, 149649, 149649, 149649, 149649]"
Matrices//marine1,11.8356s,3624847,100,1.05,10,4,16,0.0,"[25020, 25020, 25020, 25020, 25020, 25020, 25020, 25020, 25020, 25020, 25020, 25020, 25020, 25020, 25020, 25020]"
Matrices//dgreen,48.127s,14871475,100,1.05,10,4,16,0.4031128874149275,"[75039, 75039, 75039, 75038, 75038, 75038, 75038, 75038, 75038, 75038, 75038, 75038, 75038, 75038, 75038, 75038]"
Matrices/wiki-Talk,6.53353s,1301690,100,1.05,10,4,16,0.25,"[149650, 149649, 149649, 149649, 149649, 149649, 149649, 149649, 149649, 149649, 149649, 149649, 149649, 149649, 149649, 149649]"
Matrices/wiki-Talk,7.13958s,1301690,100,1.05,10,4,16,0.25,"[149650, 149649, 149649, 149649, 149649, 149649, 149649, 149649, 149649, 149649, 149649, 149649, 149649, 149649, 149649, 149649]"
Matrices/wiki-Talk,6.43294s,1301690,100,1.05,10,4,16,0.25,"[149650, 149649, 149649, 149649, 149649, 149649, 149649, 149649, 149649, 149649, 149649, 149649, 149649, 149649, 149649, 149649]"
Matrices/wiki-Talk,6.44256s,1301690,100,1.05,10,4,16,0.25,"[149650, 149649, 149649, 149649, 149649, 149649, 149649, 149649, 149649, 149649, 149649, 149649, 149649, 149649, 149649, 149649]"
Matrices/wiki-Talk,6.47604s,1301690,100,1.05,10,4,16,0.25,"[149650, 149649, 149649, 149649, 149649, 149649, 149649, 149649, 149649, 149649, 149649, 149649, 149649, 149649, 149649, 149649]"
Matrices/dgreen,54.2443s,14871475,100,1.05,10,4,16,0.4031128874149275,"[75039, 75039, 75039, 75038, 75038, 75038, 75038, 75038, 75038, 75038, 75038, 75038, 75038, 75038, 75038, 75038]"
Matrices/dgreen,54.2351s,14871475,100,1.05,10,4,16,0.4031128874149275,"[75039, 75039, 75039, 75038, 75038, 75038, 75038, 75038, 75038, 75038, 75038, 75038, 75038, 75038, 75038, 75038]"
Matrices/marine1,7.27046s,3624847,100,1.05,10,4,16,0.0,"[25020, 25020, 25020, 25020, 25020, 25020, 25020, 25020, 25020, 25020, 25020, 25020, 25020, 25020, 25020, 25020]"
Matrices/marine1,7.24098s,3624847,100,1.05,10,4,16,0.0,"[25020, 25020, 25020, 25020, 25020, 25020, 25020, 25020, 25020, 25020, 25020, 25020, 25020, 25020, 25020, 25020]"
Matrices/marine1,7.21048s,3624847,100,1.05,10,4,16,0.0,"[25020, 25020, 25020, 25020, 25020, 25020, 25020, 25020, 25020, 25020, 25020, 25020, 25020, 25020, 25020, 25020]"
