Matrix,rt(s),cuts,slack,imbal,mb size,hash,part-count,SD
Matrices/vas_stokes_1M,0.943952s,10086463,100,1.05,10,4,16,0.5163977794943222,"[68167, 68167, 68167, 68167, 68167, 68167, 68167, 68167, 68166, 68166, 68166, 68166, 68166, 68166, 68166, 68166]"
Matrices/vas_stokes_1M,0.943916s,10088087,100,1.05,10,4,16,0.5163977794943222,"[68167, 68167, 68167, 68167, 68167, 68167, 68167, 68167, 68166, 68166, 68166, 68166, 68166, 68166, 68166, 68166]"
Matrices/wiki-Talk,9.917s,151734,100,1.05,10,4,16,2.174664725116648,"[149649, 149649, 149649, 149657, 149649, 149649, 149649, 149649, 149649, 149648, 149648, 149648, 149648, 149648, 149648, 149648]"
Matrices/wiki-Talk,7.36725s,124335,100,1.05,10,4,16,1.9137659209004638,"[149649, 149649, 149649, 149649, 149649, 149649, 149649, 149649, 149649, 149648, 149648, 149648, 149648, 149648, 149656, 149648]"
Matrices/marine1,16.7642s,864732,100,1.05,10,4,16,5.046450898073483,"[25015, 25021, 25024, 25017, 25018, 25020, 25022, 25017, 25018, 25036, 25018, 25016, 25017, 25024, 25020, 25017]"
Matrices/marine1,12.2174s,866342,100,1.05,10,4,16,4.953113498935123,"[25017, 25011, 25020, 25013, 25019, 25022, 25025, 25019, 25014, 25020, 25022, 25020, 25027, 25028, 25026, 25017]"
Matrices/dgreen,62.8531s,10028916,100,1.05,10,4,16,7.529663560434379,"[75040, 75039, 75037, 75037, 75032, 75043, 75034, 75020, 75053, 75033, 75032, 75039, 75037, 75047, 75043, 75045]"
Matrices/dgreen,41.0082s,10033232,100,1.05,10,4,16,8.80317177688436,"[75031, 75036, 75038, 75021, 75053, 75045, 75033, 75029, 75043, 75036, 75049, 75050, 75037, 75042, 75041, 75027]"
Matrices//wiki-Talk,3.45002s,471746,100,1.05,10,4,16,0.25,"[149650, 149649, 149649, 149649, 149649, 149649, 149649, 149649, 149649, 149649, 149649, 149649, 149649, 149649, 149649, 149649]"
Matrices//vas_stokes_1M,0.282652s,10086463,100,1.05,10,4,16,0.5163977794943222,"[68167, 68167, 68167, 68167, 68167, 68167, 68167, 68167, 68166, 68166, 68166, 68166, 68166, 68166, 68166, 68166]"
Matrices//marine1,4.99797s,3624855,100,1.05,10,4,16,0.0,"[25020, 25020, 25020, 25020, 25020, 25020, 25020, 25020, 25020, 25020, 25020, 25020, 25020, 25020, 25020, 25020]"
Matrices//dgreen,39.5081s,14871492,100,1.05,10,4,16,0.4031128874149275,"[75039, 75039, 75039, 75038, 75038, 75038, 75038, 75038, 75038, 75038, 75038, 75038, 75038, 75038, 75038, 75038]"
Matrices//vas_stokes_1M,0.500772s,10086463,100,1.05,10,4,16,0.5163977794943222,"[68167, 68167, 68167, 68167, 68167, 68167, 68167, 68167, 68166, 68166, 68166, 68166, 68166, 68166, 68166, 68166]"
Matrices//wiki-Talk,7.48262s,471746,100,1.05,10,4,16,0.25,"[149650, 149649, 149649, 149649, 149649, 149649, 149649, 149649, 149649, 149649, 149649, 149649, 149649, 149649, 149649, 149649]"
Matrices//marine1,10.0148s,3624855,100,1.05,10,4,16,0.0,"[25020, 25020, 25020, 25020, 25020, 25020, 25020, 25020, 25020, 25020, 25020, 25020, 25020, 25020, 25020, 25020]"
Matrices//dgreen,42.2658s,14871492,100,1.05,10,4,16,0.4031128874149275,"[75039, 75039, 75039, 75038, 75038, 75038, 75038, 75038, 75038, 75038, 75038, 75038, 75038, 75038, 75038, 75038]"
Matrices/wiki-Talk,4.46632s,471746,100,1.05,10,4,16,0.25,"[149650, 149649, 149649, 149649, 149649, 149649, 149649, 149649, 149649, 149649, 149649, 149649, 149649, 149649, 149649, 149649]"
Matrices/wiki-Talk,4.69052s,471746,100,1.05,10,4,16,0.25,"[149650, 149649, 149649, 149649, 149649, 149649, 149649, 149649, 149649, 149649, 149649, 149649, 149649, 149649, 149649, 149649]"
Matrices/wiki-Talk,4.47615s,471746,100,1.05,10,4,16,0.25,"[149650, 149649, 149649, 149649, 149649, 149649, 149649, 149649, 149649, 149649, 149649, 149649, 149649, 149649, 149649, 149649]"
Matrices/wiki-Talk,4.40349s,471746,100,1.05,10,4,16,0.25,"[149650, 149649, 149649, 149649, 149649, 149649, 149649, 149649, 149649, 149649, 149649, 149649, 149649, 149649, 149649, 149649]"
Matrices/wiki-Talk,4.44526s,471746,100,1.05,10,4,16,0.25,"[149650, 149649, 149649, 149649, 149649, 149649, 149649, 149649, 149649, 149649, 149649, 149649, 149649, 149649, 149649, 149649]"
Matrices/dgreen,47.9962s,14871492,100,1.05,10,4,16,0.4031128874149275,"[75039, 75039, 75039, 75038, 75038, 75038, 75038, 75038, 75038, 75038, 75038, 75038, 75038, 75038, 75038, 75038]"
Matrices/dgreen,47.9825s,14871492,100,1.05,10,4,16,0.4031128874149275,"[75039, 75039, 75039, 75038, 75038, 75038, 75038, 75038, 75038, 75038, 75038, 75038, 75038, 75038, 75038, 75038]"
Matrices/marine1,6.17154s,3624855,100,1.05,10,4,16,0.0,"[25020, 25020, 25020, 25020, 25020, 25020, 25020, 25020, 25020, 25020, 25020, 25020, 25020, 25020, 25020, 25020]"
Matrices/marine1,6.37825s,3624855,100,1.05,10,4,16,0.0,"[25020, 25020, 25020, 25020, 25020, 25020, 25020, 25020, 25020, 25020, 25020, 25020, 25020, 25020, 25020, 25020]"
Matrices/marine1,6.10154s,3624855,100,1.05,10,4,16,0.0,"[25020, 25020, 25020, 25020, 25020, 25020, 25020, 25020, 25020, 25020, 25020, 25020, 25020, 25020, 25020, 25020]"
